program,python_experience,pandas_skill,os,dark_mode,languages,dob,waketime,bedtime,favorite_movie,movie_genres,hobbies,num_languages,age
master's (ds) [extension school],4+ years,4,Linux,True,"english, german",1984-12-03,1900-01-01 07:00:00,1900-01-01 00:30:00,mullholand drive,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance, documentary, experimental/avant-garde/artsy-fartsy","playing guitar, language learning, watching movies",2,38.0
master's (cse),4+ years,3,MacOS,False,"english, chinese, french",2001-05-05,1900-01-01 06:30:00,1900-01-01 01:00:00,interstellar,"action, sci-fi","tennis, cooking, swimming",3,22.0
master's (ds),Less than 1 year,1,MacOS,False,"swedish, english, french",2000-08-10,1900-01-01 08:00:00,1900-01-01 23:30:00,interstellar,"action, comedy, drama","playing tennis, watching f1, going to concerts",3,23.0
bachelor's (mathematics),1-2 years,2,Linux,False,"hakka, mandarin, french, english",2003-02-11,1900-01-01 08:45:00,1900-01-01 12:30:00,molly's game,"comedy, drama, mystery/thriller, romance, documentary","figure skating, rock climbing, drinking wine",4,20.0
master's (ds),2-4 years,2,MacOS,True,"english, norwegian, italian, spanish",2002-10-11,1900-01-01 08:00:00,1900-01-01 00:00:00,harry potter,"action, comedy, drama, mystery/thriller, romance, documentary","playing soccer, hang out with friends, play board games",4,20.0
master's (mde),1-2 years,1,MacOS,False,"english, mandarin",1997-02-21,1900-01-01 08:30:00,1900-01-01 01:00:00,the truman show,"action, drama, sci-fi, fantasy, romance","dancing, painting, board games",2,26.0
master's (ds),4+ years,3,MacOS,True,english,2000-11-13,1900-01-01 06:00:00,1900-01-01 00:00:00,step brothers,comedy,"lifting, gaming, sleeping",1,22.0
master's (ds),1-2 years,1,MacOS,False,english,1997-03-11,1900-01-01 11:00:00,1900-01-01 01:00:00,kung fu panda,"action, romance","nintendo, watching football, taking a walk",1,26.0
phd,1-2 years,3,MacOS,False,"english, spanish",2000-11-21,1900-01-01 07:15:00,1900-01-01 23:00:00,avengers: endgame,"action, comedy, drama, sci-fi, fantasy, romance","reading, cooking, listening to music",2,22.0
bachelor (meche),2-4 years,3,MacOS,True,"italian, english, spanish",2002-02-23,1900-01-01 09:30:00,1900-01-01 02:00:00,rush,"action, comedy, drama, sci-fi, documentary","formula 1, welding, chess",3,21.0
