,name,primary_role,roles,gender,year_born,first_credit,year_first_credit,num_credits
0,Emily Rudd,actress,['actress'],female,1993,Boy & Bear: Three Headed Woman,2013,26
1,Mary Elizabeth Winstead,actress,"['actress', 'producer', 'soundtrack']",female,1984,Touched by an Angel,1997,59
2,Morgan Davies,actor,"['actor', 'second unit director or assistant director']",male,2001,Green Fire Envy,2008,19
3,Mackenyu,actor,"['actor', 'soundtrack']",male,1996,Astro kyûdan,2005,46
4,Iñaki Godoy,actor,['actor'],male,2003,Blue Demon,2016,11
5,Danny Masterson,actor,"['actor', 'producer', 'soundtrack']",male,1976,Jake and the Fatman,1988,68
6,Bijou Phillips,actress,"['actress', 'costume and wardrobe department', 'soundtrack']",female,1980,Sublime: Wrong Way,1997,38
7,Stephanie Nur,actress,['actress'],female,1988,Tanzcafe Jenseits,2009,13
8,Jeff Ward,actor,"['actor', 'writer', 'producer']",male,1986,Law & Order: Criminal Intent,2005,31
9,Natasha Liu Bordizzo,actress,['actress'],female,1994,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,16
10,Ivanna Sakhno,actress,"['actress', 'producer']",female,1997,Lesya plyus Roma,2005,21
11,Ray Stevenson,actor,"['actor', 'soundtrack']",male,1964,A Woman's Guide to Adultery,1993,64
12,Taz Skylar,actor,"['actor', 'writer', 'producer']",male,1995,Venom,2015,20
13,Sophie Turner,actress,['actress'],female,1996,Another Me,2013,23
14,Jackie Sandler,actress,"['actress', 'music department', 'soundtrack']",female,1974,Big Daddy,1999,43
15,Vincent Regan,actor,"['actor', 'director', 'writer']",male,1965,Between the Lines,1992,116
16,Rosario Dawson,actress,"['actress', 'producer', 'director']",female,1979,Sesame Street,1993,131
17,Celeste Loots,actress,['actress'],female,1996,Home Affairs: A Christmas Tale,2020,8
18,Sasha Calle,actress,"['actress', 'music department']",female,1995,18 Minutes,2017,12
19,Florence Pugh,actress,"['actress', 'producer', 'soundtrack']",female,1996,The Falling,2014,29
20,Rosamund Pike,actress,"['actress', 'producer', 'soundtrack']",female,1979,A Rather English Marriage,1998,60
21,Evin Ahmad,actress,['actress'],female,1990,Till slut,2007,28
22,Peter Gadiot,actor,"['actor', 'director', 'writer']",male,unknown,My Spy Family,2010,19
23,Annabelle Wallis,actress,"['actress', 'soundtrack']",female,1984,Dil Jo Bhi Kahey...,2005,37
24,Denzel Washington,actor,"['actor', 'producer', 'director']",male,1954,Wilma,1977,62
25,Jennifer Lawrence,actress,"['actress', 'producer', 'writer']",female,1990,Monk,2006,38
26,Jonah Hauer-King,actor,"['actor', 'soundtrack']",male,1995,The Maiden,2014,24
27,Cillian Murphy,actor,"['actor', 'producer', 'writer']",male,1976,Quando,1997,60
28,Adam Sandler,actor,"['actor', 'producer', 'writer']",male,1966,The Cosby Show,1987,87
29,Margot Robbie,actress,"['actress', 'producer', 'executive']",female,1990,City Homicide,2008,37
30,Emma Stone,actress,"['actress', 'producer', 'soundtrack']",female,1988,The New Partridge Family,2005,56
31,Gabriel Macht,actor,"['actor', 'producer', 'director']",male,1972,Why Would I Lie?,1980,35
32,Halle Bailey,actress,"['actress', 'composer', 'music department']",female,2000,Last Holiday,2006,18
33,Timothée Chalamet,actor,"['actor', 'producer', 'soundtrack']",male,1995,Sweet Tooth,2008,35
34,Betsy Russell,actress,"['actress', 'producer']",female,1963,The Powers of Matthew Star,1982,36
35,Jeremy Allen White,actor,"['actor', 'writer', 'producer']",male,1991,Conviction,2006,29
36,Samantha Lorraine,actress,['actress'],female,unknown,Kid Stew,2020,5
37,Jill Wagner,actress,"['actress', 'producer']",female,1979,Punk'd,2003,32
38,Tom Hardy,actor,"['actor', 'producer', 'writer']",male,1977,Tommaso,2001,61
39,Dakota Fanning,actress,"['actress', 'producer', 'director']",female,1994,My Neighbor Totoro,1988,72
40,Steven John Ward,actor,"['actor', 'casting department', 'casting director']",male,1990,Cartoon Network Dance Club,2009,16
41,Freya Allan,actress,['actress'],female,2001,Bluebird,2017,10
42,Diana Lee Inosanto,actress,"['actress', 'director', 'producer']",female,unknown,Moonlighting,1986,19
43,Laysla De Oliveira,actress,['actress'],female,1992,Covert Affairs,2012,20
44,Javier Bardem,actor,"['actor', 'producer', 'music department']",male,1969,El pícaro,1974,74
45,Shannon Elizabeth,actress,"['actress', 'producer', 'director']",female,1973,Arli$$,1996,59
46,McKinley Belcher III,actor,['actor'],male,1984,Hamlet,2008,31
47,Rick Hoffman,actor,"['actor', 'additional crew']",male,1970,Just Perfect,1990,64
48,Phoebe Waller-Bridge,actress,"['actress', 'producer', 'writer']",female,1985,Intangible,2008,35
49,Christopher Nolan,writer,"['writer', 'producer', 'director']",male,1970,Tarantella,1989,18
50,Natasha O'Keeffe,actress,['actress'],female,1986,Abraham's Point,2008,22
51,Henry Cavill,actor,"['actor', 'additional crew', 'producer']",male,1983,Vendetta,2001,33
52,Kelly Reilly,actress,"['actress', 'producer']",female,1977,The Biz,1995,58
53,Sophia Lillis,actress,['actress'],female,2002,The Lipstick Stain,2013,18
54,Natasia Demetriou,actress,"['actress', 'writer', 'director']",female,1984,Jamie Demetriou: Channel 4 Comedy Blaps,2013,35
55,Anya Taylor-Joy,actress,"['actress', 'soundtrack']",female,1996,Vampire Academy,2014,33
56,Denise Gough,actress,"['actress', 'additional crew']",female,1980,The Sound of Silence,2004,63
57,Jenna Ortega,actress,"['actress', 'producer', 'soundtrack']",female,2002,Rob,2012,49
58,Rebecca Ferguson,actress,"['actress', 'producer', 'soundtrack']",female,1983,Nya tider,1999,36
59,Zahn McClarnon,actor,"['actor', 'additional crew', 'producer']",male,1966,My Neighbor Totoro,1988,94
60,Alexandra Daddario,actress,"['actress', 'producer', 'soundtrack']",female,1986,All My Children,2002,70
61,Kaia Gerber,actress,"['actress', 'soundtrack']",female,2001,Sister Cities,2016,14
62,Ryan Gosling,actor,"['actor', 'producer', 'director']",male,1980,Are You Afraid of the Dark?,1995,50
63,Raquel Welch,actress,"['actress', 'producer', 'writer']",female,1940,A House Is Not a Home,1964,73
64,Tom Cruise,actor,"['actor', 'producer', 'director']",male,1962,Endless Love,1981,51
65,Nicholas Galitzine,actor,"['actor', 'soundtrack']",male,1994,The Beat Beneath My Feet,2014,15
66,David Tennant,actor,"['actor', 'producer', 'director']",male,1971,Dramarama,1988,157
67,Sarah Rafferty,actress,"['actress', 'producer', 'soundtrack']",female,1972,Trinity,1998,37
68,Arielle Kebbel,actress,"['actress', 'soundtrack', 'producer']",female,1985,CSI: Crime Scene Investigation,2003,78
69,Keanu Reeves,actor,"['actor', 'producer', 'additional crew']",male,1964,Hangin' In,1984,111
70,Kate Fleetwood,actress,"['actress', 'soundtrack']",female,1972,Getting Hurt,1998,55
71,Jimmy Buffett,actor,"['music artist', 'actor', 'producer']",male,1946,Jimmy Buffett: Tales from MargaritaVision,2000,8
72,Sam Heughan,actor,"['actor', 'producer', 'writer']",male,1980,Small Moments,2001,29
73,Sydney Sweeney,actress,"['actress', 'producer']",female,1997,ZMD: Zombies of Mass Destruction,2009,54
74,Aidan Scott,actor,['actor'],male,1996,Action Point,2018,9
75,Priyanka Chopra Jonas,actress,"['actress', 'producer', 'music department']",female,1982,Sajan Mere Satrangiya,2001,85
