name,primary_role,roles,gender,year_born,first_credit,year_first_credit,num_credits
Emily Rudd,actress,['actress'],female,1993,Boy & Bear: Three Headed Woman,2013,26
Mary Elizabeth Winstead,actress,"['actress', 'producer', 'soundtrack']",female,1984,Touched by an Angel,1997,59
Morgan Davies,actor,"['actor', 'second unit director or assistant director']",male,2001,Green Fire Envy,2008,19
Mackenyu,actor,"['actor', 'soundtrack']",male,1996,Astro kyûdan,2005,46
Iñaki Godoy,actor,['actor'],male,2003,Blue Demon,2016,11
Danny Masterson,actor,"['actor', 'producer', 'soundtrack']",male,1976,Jake and the Fatman,1988,68
Bijou Phillips,actress,"['actress', 'costume and wardrobe department', 'soundtrack']",female,1980,Sublime: Wrong Way,1997,38
Stephanie Nur,actress,['actress'],female,1988,Tanzcafe Jenseits,2009,13
Jeff Ward,actor,"['actor', 'writer', 'producer']",male,1986,Law & Order: Criminal Intent,2005,31
Natasha Liu Bordizzo,actress,['actress'],female,1994,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,16
Ivanna Sakhno,actress,"['actress', 'producer']",female,1997,Lesya plyus Roma,2005,21
Ray Stevenson,actor,"['actor', 'soundtrack']",male,1964,A Woman's Guide to Adultery,1993,64
Taz Skylar,actor,"['actor', 'writer', 'producer']",male,1995,Venom,2015,20
Sophie Turner,actress,['actress'],female,1996,Another Me,2013,23
Jackie Sandler,actress,"['actress', 'music department', 'soundtrack']",female,1974,Big Daddy,1999,43
Vincent Regan,actor,"['actor', 'director', 'writer']",male,1965,Between the Lines,1992,116
Rosario Dawson,actress,"['actress', 'producer', 'director']",female,1979,Sesame Street,1993,131
Celeste Loots,actress,['actress'],female,1996,Home Affairs: A Christmas Tale,2020,8
Sasha Calle,actress,"['actress', 'music department']",female,1995,18 Minutes,2017,12
Florence Pugh,actress,"['actress', 'producer', 'soundtrack']",female,1996,The Falling,2014,29
Rosamund Pike,actress,"['actress', 'producer', 'soundtrack']",female,1979,A Rather English Marriage,1998,60
Evin Ahmad,actress,['actress'],female,1990,Till slut,2007,28
Peter Gadiot,actor,"['actor', 'director', 'writer']",male,1985,My Spy Family,2010,19
Annabelle Wallis,actress,"['actress', 'soundtrack']",female,1984,Dil Jo Bhi Kahey...,2005,37
Denzel Washington,actor,"['actor', 'producer', 'director']",male,1954,Wilma,1977,62
Jennifer Lawrence,actress,"['actress', 'producer', 'writer']",female,1990,Monk,2006,38
Jonah Hauer-King,actor,"['actor', 'soundtrack']",male,1995,The Maiden,2014,24
Cillian Murphy,actor,"['actor', 'producer', 'writer']",male,1976,Quando,1997,60
Adam Sandler,actor,"['actor', 'producer', 'writer']",male,1966,The Cosby Show,1987,87
Margot Robbie,actress,"['actress', 'producer', 'executive']",female,1990,City Homicide,2008,37
Emma Stone,actress,"['actress', 'producer', 'soundtrack']",female,1988,The New Partridge Family,2005,55
Gabriel Macht,actor,"['actor', 'producer', 'director']",male,1972,Why Would I Lie?,1980,35
Halle Bailey,actress,"['actress', 'composer', 'music department']",female,2000,Last Holiday,2006,18
Timothée Chalamet,actor,"['actor', 'producer', 'soundtrack']",male,1995,Sweet Tooth,2008,35
