program,python_exp,pandas_skill,os,dark_mode,languages,dob,waketime,bedtime,fav_movie,movie_genres,hobbies,num_lang
master's (ds) [extension school],4+ years,4,Linux,True,"English, German",1984-12-03,1900-01-01 07:00:00,1900-01-01 00:30:00,Mullholand Drive,"Action, Comedy, Drama, Horror, Sci-Fi, Fantasy, Mystery/Thriller, Romance, Documentary, Experimental/Avant-garde/Artsy-fartsy","playing guitar, language learning, watching movies",2
master's (cse),4+ years,3,MacOS,False,"English, Chinese, French",2001-05-05,1900-01-01 06:30:00,1900-01-01 01:00:00,Interstellar,"Action, Sci-Fi","Tennis, cooking, swimming",3
master's (ds),Less than 1 year,1,MacOS,False,"Swedish, English, French",2000-08-10,1900-01-01 08:00:00,1900-01-01 23:30:00,Interstellar,"Action, Comedy, Drama","playing tennis, watching f1, going to concerts",3
bachelor's (mathematics),1-2 years,2,Linux,False,"Hakka, Mandarin, French, English",2003-02-11,1900-01-01 08:45:00,1900-01-01 12:30:00,Molly's Game,"Comedy, Drama, Mystery/Thriller, Romance, Documentary","Figure skating, rock climbing, drinking wine",4
master's (ds),2-4 years,2,MacOS,True,"English, Norwegian, Italian, Spanish",2002-10-11,1900-01-01 08:00:00,1900-01-01 00:00:00,Harry Potter,"Action, Comedy, Drama, Mystery/Thriller, Romance, Documentary","playing soccer, hang out with friends, play board games",4
master's (mde),1-2 years,1,MacOS,False,"English, Mandarin",1997-02-21,1900-01-01 08:30:00,1900-01-01 01:00:00,The Truman Show,"Action, Drama, Sci-Fi, Fantasy, Romance","Dancing, Painting, Board Games",2
master's (ds),4+ years,3,MacOS,True,English,2000-11-13,1900-01-01 06:00:00,1900-01-01 00:00:00,Step Brothers,Comedy,"Lifting, gaming, sleeping",1
master's (ds),1-2 years,1,MacOS,False,English,1997-03-11,1900-01-01 11:00:00,1900-01-01 01:00:00,Kung Fu Panda,"Action, Romance","Nintendo, Watching Football, Taking a Walk",1
phd,1-2 years,3,MacOS,False,"English, Spanish",2000-11-21,1900-01-01 07:15:00,1900-01-01 23:00:00,Avengers: Endgame,"Action, Comedy, Drama, Sci-Fi, Fantasy, Romance","reading, cooking, listening to music",2
bachelor (meche),2-4 years,3,MacOS,True,"Italian, English, Spanish",2002-02-23,1900-01-01 09:30:00,1900-01-01 02:00:00,Rush,"Action, Comedy, Drama, Sci-Fi, Documentary","Formula 1, Welding, Chess",3
master's (ds) [extension school],Less than 1 year,2,MacOS,True,"English, Malayalam, Spanish ",1992-04-25,1900-01-01 06:45:00,1900-01-01 23:30:00,,"Comedy, Horror, Sci-Fi, Fantasy, Mystery/Thriller","Hiking, long distance running",3
ms/mba,1-2 years,3,Windows,False,Chineses,2000-05-10,1900-01-01 08:00:00,1900-01-01 11:30:00,,Sci-Fi,"Reading online novel, playing table tennis, meditating",1
bachelor's (cs),2-4 years,4,Windows,True,"English, Chinese",2003-02-17,1900-01-01 09:00:00,1900-01-01 01:00:00,Fight Club,"Action, Horror, Sci-Fi, Fantasy, Mystery/Thriller","Weightlifting, Video Games",2
bachelor's (chemistry),2-4 years,2,MacOS,True,"English, Mandarin",2002-09-11,1900-01-01 09:00:00,1900-01-01 01:00:00,Amadeus,"Action, Comedy, Drama, Documentary","piano, chess, bridge",2
bachelor's(physics/math joint),1-2 years,3,MacOS,True,English,2002-04-03,1900-01-01 08:00:00,1900-01-01 00:00:00,Spider-Man: Into the Spider-Verse,"Action, Comedy, Fantasy","poker, basketball, long walks",1
master's (ds),1-2 years,2,MacOS,True,"English, Chinese",2000-01-25,1900-01-01 08:20:00,1900-01-01 01:20:00,The Matrix,"Action, Sci-Fi, Mystery/Thriller","movies, LEGO sets, jogging",2
